food_id,dish_name,food_type,cuisine_region,meal_time_category,serving_size_g,default_portion,carbs_g,protein_g,fat_g,fiber_g,sugar_g,glycemic_index,glycemic_load,calories_kcal,sodium_mg,vitamins_minerals_info,avoid_for_diabetic,safe_threshold_sugar,risky_threshold_sugar,risky_reason,recommended_alternatives,portion_adjustment,meal_time_fit,dietitian_notes
1,Hot tea (Garam Chai),Snack,Indian,Breakfast,200,1 cup,2.58,0.39,0.53,0.0,2.58,37,0.9546,16.14,3.12,"14.2, 0.02, 0.5, 1.8",No,110,140,Normal,"Puffy omelette/omlet, Brown stock, Canjee",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
2,Instant coffee,Snack,Global,Breakfast,200,1 cup,3.65,0.64,0.75,0.0,3.62,59,2.1535,23.16,4.92,"20.87, 0.06, 1.51, 5.6",No,110,140,Normal,"Canjee, Pickled mustard greens , Fermented bamboo shoot pickle (Mesu pickle)",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes.
3,Espreso coffee,Snack,Global,Breakfast,200,1 cup,6.62,1.75,2.14,0.0,6.53,33,2.1846,51.54,13.98,"58.1, 0.15, 1.51, 5.53",No,110,140,Normal,"Puffy omelette/omlet, Brown stock, Canjee",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
4,Iced tea,Snack,Global,Breakfast,200,1 cup,2.7,0.03,0.01,0.0,2.7,32,0.8640000000000001,10.34,0.23,"1.18, 0.02, 5.95, 1.28",No,110,140,Normal,"Puffy omelette/omlet, Brown stock, Canjee",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
5,Raw mango drink (Aam panna),Fruit,Global,Snack,200,1 cup,9.05,0.16,0.03,0.61,7.49,60,5.43,35.92,79.82,"7.08, 0.14, 45.3, 14.05",No,110,140,Normal,"Orange omelette/omlet, Pearl millet mathri (Bajra mathri), Mango mousse",limit to small portion (¾ cup); prefer whole fruit,General,Prefer whole fruit over juice; pair with nuts/curd; avoid late‑night large portions. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes.
6,Fruit Punch (with fresh juices),Snack,Global,Snack,200,1 cup,9.38,0.14,0.03,0.06,9.25,38,3.5644000000000005,36.12,2.63,"5.07, 0.1, 41.44, 24.57",No,110,140,Normal,"Schezwan chutney, Baked potato with skin , Penne platter",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
7,Fruit Punch (with squashes),Snack,Global,Snack,120,1 fruit,5.99,0.07,0.02,0.17,5.88,68,4.0732,23.13,2.26,"3.3, 0.06, 15.08, 9.13",Yes,110,140,High GI,"Canjee, Pickled mustard greens , Fermented bamboo shoot pickle (Mesu pickle)",limit to small portion (¾ cup); avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes.
8,Lemonade,Snack,Global,Snack,100,1 serving,5.48,0.03,0.01,0.02,5.47,75,4.11,20.8,28.52,"1.84, 0.05, 5.27, 2.11",Yes,110,140,High GI,"Canjee, Pickled mustard greens , Fermented bamboo shoot pickle (Mesu pickle)",reduce to half portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. High‑GI: emphasise portion control and add fiber/protein. 10–15 min walk post‑meal helps control spikes.
9,Lem-o-gin,Snack,Global,Snack,100,1 serving,5.55,0.08,0.03,0.13,5.38,49,2.7195,21.52,28.13,"2.2, 0.09, 5.68, 2.92",No,110,140,Normal,"Fermented bamboo shoot pickle (Mesu pickle), Consomme au julienne, Mayonnaise",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
10,Cumin infused water (Jeere/Zeere ka pani),Snack,Global,Snack,100,1 serving,1.86,0.17,0.11,0.46,1.46,54,1.0044000000000002,9.09,189.6,"10.84, 0.32, 3.61, 3.14",No,110,140,Normal,"Canjee, Fermented bamboo shoot pickle (Mesu pickle), Consomme au julienne",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
11,Coco pine cooler,Snack,Global,Snack,100,1 serving,5.72,0.56,1.0,0.26,5.52,36,2.0592,32.75,23.2,"17.81, 0.13, 10.67, 12.64",No,110,140,Normal,"Puffy omelette/omlet, Brown stock, Canjee",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
12,Summer cooler,Snack,Global,Snack,100,1 serving,5.43,0.37,0.04,0.2,5.21,55,2.9865,22.43,1.57,"8.13, 0.28, 103.5, 63.89",No,110,140,Normal,"Canjee, Fermented bamboo shoot pickle (Mesu pickle), Consomme au julienne",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
13,Hot cocoa,Snack,Global,Snack,100,1 serving,9.23,3.36,4.56,0.0,9.01,47,4.3381,90.1,24.2,"113.66, 0.31, 3.62, 13.79",No,110,140,Normal,"Fermented bamboo shoot pickle (Mesu pickle), Consomme au julienne, Mayonnaise",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
14,Cold coffee with ice cream,Snack,Global,Breakfast,200,1 cup,11.24,1.57,2.11,0.01,11.18,68,7.6432,67.85,13.84,"53.29, 0.12, 2.53, 9.49",Yes,110,140,High GI,"Canjee, Pickled mustard greens , Fermented bamboo shoot pickle (Mesu pickle)",limit to small portion (¾ cup); avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes.
15,Banana milkshake (Kele milkshake),Dairy,Global,Breakfast,200,1 cup,9.15,1.84,2.37,0.26,7.96,53,4.849500000000001,65.31,13.61,"62.64, 0.13, 6.84, 19.83",No,110,140,Normal,"Paneer soup, Spinach paneer kofta curry (Palak paneer kofta curry), Paneer kofta curry",okay at normal portion; choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
